institution,course_name,url,reason
St Andrews,MA (hons) international relations & sustainable development,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,year headings found but no usable module list detected
St Andrews,MA (hons) film studies & international relations,http://www.st-andrews.ac.uk/subjects/film-studies/film-studies-ma/,year headings found but no usable module list detected
St Andrews,MA (hons) international relations & sustainable development,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,year headings found but no usable module list detected
St Andrews,MA (hons) international relations & sustainable development,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,year headings found but no usable module list detected
London School of Economics,BSc (hons) international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations,year headings found but no usable module list detected
London School of Economics,BSc (hons) international social & public policy with politics,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy-with-politics,year headings found but no usable module list detected
Keele,BA (hons) international relations & politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/internationalrelationsandpolitics,no year/stage headings found
Keele,BA (hons) international relations,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/internationalrelations/#foundationyear,no year/stage headings found
Keele,LLB (hons) law with politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/lawwithpolitics,no year/stage headings found
Keele,BA (hons) politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/politics/#foundationyear,no year/stage headings found
Keele,BSc (hons) politics & sociology,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/politicsandsociology/,no year/stage headings found
King's College London,BA (hons) European politics,https://www.kcl.ac.uk/study/undergraduate/courses/european-politics-ba,no year/stage headings found
King's College London,BA/BSc (hons) politics,https://www.kcl.ac.uk/study/undergraduate/courses/politics-ba-bsc,no year/stage headings found
King's College London,BA (hons) international relations,https://www.kcl.ac.uk/study/undergraduate/courses/international-relations-ba,no year/stage headings found
King's College London,BA (hons) war studies,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba,no year/stage headings found
King's College London,BA (hons) international development with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,no year/stage headings found
King's College London,BA (hons) international development with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,no year/stage headings found
Glasgow,LLB (hons) law/ politics,http://www.gla.ac.uk/undergraduate/degrees/law/,no year/stage headings found
Liverpool John Moores,BA (hons) international relations & politics,https://www.ljmu.ac.uk/study/courses/undergraduates/2025/36202-international-relations-and-politics-ba-hons,no year/stage headings found
Essex,BA (hons) international relations,https://www.essex.ac.uk/courses/UG00221/1,no year/stage headings found
Essex,BSc (hons) politics & international relations,https://www.essex.ac.uk/courses/UG01124/1,no year/stage headings found
Essex,BSc (hons) politics & international relations,https://www.essex.ac.uk/courses/UG01124/1,no year/stage headings found
Essex,BA (hons) politics,https://www.essex.ac.uk/courses/UG00343/1,no year/stage headings found
Essex,BA (hons) international relations & modern languages,https://www.essex.ac.uk/courses/UG00222/1,no year/stage headings found
Essex,BA (hons) American studies (united states),https://www.essex.ac.uk/courses/UG00014/1,HTTP 404
Essex,BA (hons) global studies,https://www.essex.ac.uk/courses/UG01054/1,no year/stage headings found
Essex,BA (hons) journalism & politics,https://www.essex.ac.uk/courses/UG01100/1,no year/stage headings found
UCL,BA (hons) European social & political studies: dual degree,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-dual-degree-ba,no year/stage headings found
UCL,BA (hons) European social & political studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,no year/stage headings found
UCL,BA (hons) international social & political studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/international-social-and-political-studies-ba,no year/stage headings found
UCL,BSc (hons) politics & international relations,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,no year/stage headings found
UCL,"BA (hons) politics, sociology & east European studies",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-sociology-and-east-european-studies-year-abroad-ba,no year/stage headings found
Manchester Met,BA (hons) international relations,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations/september-2025/,blocked (HTTP 403)
Manchester Met,BA (hons) international relations (with a modern language),https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations-with-a-modern-language/september-2025/,blocked (HTTP 403)
Manchester Met,BA (hons) politics,https://www.mmu.ac.uk/study/undergraduate/course/ba-politics/september-2025/,blocked (HTTP 403)
Sheffield,BA (hons) politics & international relations,https://sheffield.ac.uk/undergraduate/courses/2026/politics-and-international-relations-ba,year headings found but no usable module list detected
Sheffield,BA (hons) global sustainable development,https://www.sheffield.ac.uk/undergraduate/courses/2025/global-sustainable-development-ba,year headings found but no usable module list detected
Sheffield,BA (hons) politics & sociology,https://www.sheffield.ac.uk/undergraduate/courses/2025/politics-and-sociology-ba,year headings found but no usable module list detected
Birmingham,BA (hons) international relations,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations.aspx,connection error
Birmingham,BA (hons) politics & international relations,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations.aspx,connection error
Birmingham,BA (hons) international relations with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-year-abroad.aspx,connection error
Birmingham,BA (hons) politics & international relations with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations-year-abroad.aspx,connection error
Birmingham,BA (hons) international development & politics,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-development-and-politics.aspx,connection error
Birmingham,BA (hons) international development & politics with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-development-and-politics-year-abroad.aspx,connection error
Birmingham,BA (hons) politics,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics.aspx,connection error
Birmingham,BA (hons) politics & sociology,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology.aspx,connection error
Birmingham,BA (hons) politics & sociology with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology-year-abroad.aspx,connection error
Birmingham,BA (hons) politics with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-year-abroad.aspx,connection error
Warwick,BA (hons) politics,https://warwick.ac.uk/study/undergraduate/courses/ba-politics,year headings found but no usable module list detected
Warwick,BA (hons) politics & international studies,https://warwick.ac.uk/study/undergraduate/courses/ba-politics-international-studies,year headings found but no usable module list detected
Warwick,"BASc (hons) politics, international studies & global sustainable development",https://warwick.ac.uk/study/undergraduate/courses/basc-politics-international-studies-global-sustainable-development,year headings found but no usable module list detected
Warwick,BA (hons) politics & sociology,https://warwick.ac.uk/study/undergraduate/courses/ba-politics-sociology,year headings found but no usable module list detected
Warwick,"BA (hons) politics, philosophy & law",https://warwick.ac.uk/study/undergraduate/courses/ba-politics-philosophy-law,year headings found but no usable module list detected
Warwick,"BA (hons) politics, international studies",https://warwick.ac.uk/study/undergraduate/courses/ba-politics-international-studies-french,year headings found but no usable module list detected
Aston,BSc (hons) international development management,https://www.aston.ac.uk/study/courses/international-development-management-bsc/september-2025,no year/stage headings found
Bristol,BSc (hons) politics & international relations,https://www.bristol.ac.uk/study/undergraduate/2026/politics-international-relations/bsc-politics-and-international-relations/,no year/stage headings found
Bristol,BSc (hons) politics & international relations with study abroad,https://www.bristol.ac.uk/study/undergraduate/2026/politics-international-relations/bsc-politics-and-international-relations-with-study-abroad/,no year/stage headings found
Lancaster,BA (hons) politics & international relations,http://www.lancs.ac.uk/study/undergraduate/courses/politics-and-international-relations-ba-hons-l250/,no year/stage headings found
Lancaster,BA (hons) peace studies & international relations,http://www.lancs.ac.uk/study/undergraduate/courses/peace-studies-and-international-relations-ba-hons-ll92/,no year/stage headings found
Lancaster,BA (hons) international relations,http://www.lancs.ac.uk/study/undergraduate/courses/international-relations-ba-hons-6t99/,no year/stage headings found
Lancaster,BA (hons) politics,http://www.lancs.ac.uk/study/undergraduate/courses/politics-ba-hons-l200/,no year/stage headings found
Lancaster,BA (hons) politics & sociology,http://www.lancs.ac.uk/study/undergraduate/courses/politics-and-sociology-ba-hons-ll23/,no year/stage headings found
Lancaster,LLB (hons) law with politics,http://www.lancs.ac.uk/study/undergraduate/courses/law-with-politics-llb-hons-m1l2/,no year/stage headings found
Lincoln,BA (hons) international relations,https://www.lincoln.ac.uk/home/course/ISTISTUB/,no year/stage headings found
Lincoln,BA (hons) international relations & politics,https://www.lincoln.ac.uk/home/course/ISTPOLUB/,no year/stage headings found
Lincoln,BA (hons) politics,https://www.lincoln.ac.uk/home/course/POLPOLUB/,no year/stage headings found
Manchester,BA (hons) development studies,https://www.manchester.ac.uk/study/undergraduate/courses/2025/05130/baecon-development-studies/,HTTP 404
Manchester,BA (hons) politics & sociology,https://www.manchester.ac.uk/study/undergraduate/courses/2025/08829/bass-politics-and-sociology/,year headings found but no usable module list detected
Manchester,BSc (hons) global development,https://www.manchester.ac.uk/study/undergraduate/courses/2025/20251/bsc-global-development/,year headings found but no usable module list detected
Manchester,BSc (hons) global development with international study,https://www.manchester.ac.uk/study/undergraduate/courses/2025/21403/bsc-global-development-with-international-study/,year headings found but no usable module list detected
Manchester,BSc (hons) international disaster management & humanitarian response,https://www.manchester.ac.uk/study/undergraduate/courses/2025/10113/bsc-international-disaster-management-and-humanitarian-response/,year headings found but no usable module list detected
Manchester,LLB (hons) law with politics,https://www.manchester.ac.uk/study/undergraduate/courses/2025/18869/llb-law-with-politics/,year headings found but no usable module list detected
Manchester,BA (hons) politics & criminology,https://www.manchester.ac.uk/study/undergraduate/courses/2025/08832/bass-politics-and-criminology/,year headings found but no usable module list detected
York,BA (hons) global development,https://www.york.ac.uk/study/undergraduate/courses/ba-global-development/,no year/stage headings found
Liverpool,BA (hons) international relations,https://www.liverpool.ac.uk/courses/2025/international-relations-ba-hons,no year/stage headings found
Aberystwyth,BA (hons) politics & international relations,http://www.aber.ac.uk/courses/?LE457T,year headings found but no usable module list detected
Aberystwyth,BA (hons) hanes / cysylltiadau rhyngwladol,http://www.aber.ac.uk/courses/?55RL7J,year headings found but no usable module list detected
Aberystwyth,"BA (hons) strategy, intelligence & security",http://www.aber.ac.uk/courses/?EWR9GP,request error: Exceeded 30 redirects.
Aberystwyth,LLB (hons) law & international relations,http://www.aber.ac.uk/courses/?7TLT67,year headings found but no usable module list detected
UEA,BA (hons) global development,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-foundation-year/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) international relations with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-with-a-year-abroad/2025-26/sep,no year/stage headings found
UEA,BA (hons) international relations with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-with-a-placement-year/2025-26/sep,no year/stage headings found
UEA,BA (hons) global development with politics,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) global development with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-year-abroad/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) global development with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-placement-year/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) global development with politics with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-year-abroad/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) politics,https://www.uea.ac.uk/course/undergraduate/ba-politics/2025-26/sep,no year/stage headings found
UEA,BA (hons) international relations & politics with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics-with-a-placement-year/2025-26/sep,no year/stage headings found
UEA,BA (hons) international relations,https://www.uea.ac.uk/course/undergraduate/ba-international-relations/2025-26/sep,no year/stage headings found
UEA,BA (hons) international relations & politics,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics/2025-26/sep,no year/stage headings found
UEA,BA (hons) international relations & politics with a year abroad,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politicswith-a-year-abroad/2025-26/sep,no year/stage headings found
UEA,BA (hons) global development with politics with a placement year,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-placement-year/2025-26/sep,year headings found but no usable module list detected
UEA,BSc (hons) sustainable development,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development/2025-26/sep,year headings found but no usable module list detected
UEA,BSc (hons) sustainable development with a year abroad,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development-with-a-year-abroad/2025-26/sep,year headings found but no usable module list detected
UEA,BSc (hons) sustainable development with a placement year,https://www.uea.ac.uk/course/undergraduate/bsc-sustainable-development-with-a-placement-year/2025-26/sep,year headings found but no usable module list detected
UEA,BA (hons) international relations & modern language,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-modern-language/2025-26/sep,year headings found but no usable module list detected
Kent,BA (hons) politics & international relations with a year in continental Europe,https://www.kent.ac.uk/courses/undergraduate/2025/40/politics-and-international-relations-with-a-year-in-continental-europe,no year/stage headings found
Kent,BA (hons) politics & international relations with a year in the asia-pacific,https://www.kent.ac.uk/courses/undergraduate/2025/2494/politics-and-international-relations-with-a-year-in-asia-pacific,no year/stage headings found
Kent,BA (hons) politics & international relations,https://www.kent.ac.uk/courses/undergraduate/2025/31/politics-and-international-relations,no year/stage headings found
Kent,BA (hons) politics & international relations with a year in north America,https://www.kent.ac.uk/courses/undergraduate/2025/393/politics-and-international-relations-with-a-year-in-north-america,no year/stage headings found
Edinburgh,MA (hons) international relations,https://www.ed.ac.uk/ug/L250,no year/stage headings found
Edinburgh,MA (hons) politics,https://www.ed.ac.uk/ug/L200,no year/stage headings found
Edinburgh,MA (hons) sociology & politics,https://www.ed.ac.uk/ug/LL32,no year/stage headings found
Edinburgh,LLB (hons) law & international relations,https://www.ed.ac.uk/ug/ML1F,no year/stage headings found
Edinburgh,LLB (hons) law & politics,https://www.ed.ac.uk/ug/ML12,no year/stage headings found
Plymouth,BSc (hons) politics,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics,HTTP 404
Nottingham,BSc (hons) Politics and International Relations - Quantitative Methods,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Politics-and-International-Relations-Quantitative-Methods-BSc-Hons-U6UPIRQM.html,year headings found but no usable module list detected
Nottingham,BA (hons) international security studies,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/international-security-studies-ba-U6UINTSS.html,year headings found but no usable module list detected
Nottingham,BA (hons) politics & international relations,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Politics-and-International-Relations-BA-Hons-U6UPLTIR.html,year headings found but no usable module list detected
Nottingham Trent,BA (hons) international relations,https://www.ntu.ac.uk/course/social-sciences/ug/ba-hons-international-relations,blocked (HTTP 403)
Reading,BSc (hons) international development,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-development-ug/bsc-international-development,HTTP 404
Reading,BSc (hons) international development with placement year,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-development-ug/bsc-international-development-with-placement-year,HTTP 404
Reading,BA (hons) politics & international relations,https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-politics-and-international-relations,year headings found but no usable module list detected
Reading,BA (hons) politics & international relations with international foundation year,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-foundation-programme-ifp-ug/ba-politics-and-international-relations-ifp-september,HTTP 404
Reading,BA (hons) politics & international relations with placement year,https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-politics-and-international-relations-with-placement-year,year headings found but no usable module list detected
Reading,BA (hons) modern languages & international relations,https://www.reading.ac.uk/discover/Ready-to-Study/study/subject-area/languages-and-cultures-ug/ba-modern-languages-and-international-relations,HTTP 404
Reading,"BA (hons) war, peace & international relations",https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-war-peace-and-international-relations,year headings found but no usable module list detected
Reading,"BA (hons) war, peace & international relations with placement year",https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-war-peace-and-international-relations-with-placement-year,year headings found but no usable module list detected
Reading,BA (hons) international development,https://www.reading.ac.uk/ready-to-study/study/subject-area/languages-and-cultures-ug/ba-spanish-and-international-development,HTTP 404
Portsmouth,BA (hons) international relations & politics,https://www.port.ac.uk/study/courses/ba-hons-international-relations-and-politics,year headings found but no usable module list detected
Portsmouth,BA (hons) international relations,https://www.port.ac.uk/study/courses/ba-hons-international-relations,year headings found but no usable module list detected
Portsmouth,BA (hons) international development,https://www.port.ac.uk/study/courses/ba-hons-international-development,year headings found but no usable module list detected
SOAS,BA (hons) global development,https://www.soas.ac.uk/study/find-course/ba-global-development-and,no year/stage headings found
SOAS,BA (hons) international relations & law,https://www.soas.ac.uk/study/find-course/ba-international-relations-and,no year/stage headings found
SOAS,BA (hons) politics & law,https://www.soas.ac.uk/study/find-course/ba-politics-and,no year/stage headings found
SOAS,BA (hons) international relations & law,https://www.soas.ac.uk/study/find-course/ba-international-relations-and,no year/stage headings found
SOAS,BA (hons) law & global development,https://www.soas.ac.uk/study/find-course/ba-law-and,no year/stage headings found
SOAS,BA (hons) politics & law,https://www.soas.ac.uk/study/find-course/ba-politics-and,no year/stage headings found
SOAS,BA (hons) politics & law,https://www.soas.ac.uk/study/find-course/ba-politics-and,no year/stage headings found
Leeds,BA (hons) international development,https://courses.leeds.ac.uk/202526/f485/international-development-ba,HTTP 404
Leeds,BA (hons) global creative industries,https://courses.leeds.ac.uk/202526/i991/global-creative-industries-ba,year headings found but no usable module list detected
Royal Holloway,BA (hons) politics & law,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-law/,HTTP 404
Royal Holloway,BA (hons) politics & law with a year in industry,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-law-with-a-year-in-industry/,HTTP 404
Cardiff,BScEcon (hons) international relations,https://www.cardiff.ac.uk/study/undergraduate/courses/course/international-relations-bscecon,blocked (HTTP 403)
Cardiff,BScEcon (hons) international relations & politics,https://www.cardiff.ac.uk/study/undergraduate/courses/course/international-relations-and-politics-bsc-econ,blocked (HTTP 403)
Leicester,LLB (hons) law with politics,https://le.ac.uk/courses/law-with-politics-llb/2025,blocked (HTTP 403)
Leicester,BA (hons) politics & sociology,https://le.ac.uk/courses/politics-and-sociology-ba/2025,blocked (HTTP 403)
Leicester,BA (hons) international relations,https://le.ac.uk/courses/international-relations-ba/2025,blocked (HTTP 403)
Leicester,BA (hons) politics,https://le.ac.uk/courses/politics-ba/2025,blocked (HTTP 403)
Leicester,BA (hons) politics & international relations,https://le.ac.uk/courses/politics-and-international-relations-ba/2025,blocked (HTTP 403)
"Queen's, Belfast",BA (hons) international relations,https://www.qub.ac.uk/courses/undergraduate/international-relations-conflict-studies-ba-l253/#overview,year headings found but no usable module list detected
"Queen's, Belfast",BA (hons) politics,http://www.qub.ac.uk/courses/undergraduate/politics-ba-l200/,year headings found but no usable module list detected
Greenwich,BA (hons) politics & international relations,https://www.gre.ac.uk/undergraduate-courses/ach/politics-and-international-relations-ba-hons,no year/stage headings found
Oxford Brookes,"BA/BSc (hons) communication, media & culture & politics",https://www.brookes.ac.uk/courses/undergraduate/communication-media-and-culture-and-politics,year headings found but no usable module list detected
Oxford Brookes,"BA/BSc (hons) communication, media & culture & international relations",https://www.brookes.ac.uk/courses/undergraduate/communication-media-and-culture-and-international,year headings found but no usable module list detected
Oxford Brookes,BA/BSc (hons) criminology & politics,https://www.brookes.ac.uk/courses/undergraduate/criminology-and-politics,year headings found but no usable module list detected
Oxford Brookes,BA/BSc (hons) criminology & international relations,https://www.brookes.ac.uk/courses/undergraduate/criminology-and-international-relations,year headings found but no usable module list detected
