institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
St Andrews,MA (hons) international relations,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,Year abroad,"Arabic, Chinese, French, German, Italian, Latin, Persian, Russian, Spanish",,60
St Andrews,MA (hons) film studies & international relations,http://www.st-andrews.ac.uk/subjects/film-studies/film-studies-ma/,Year abroad,,film studies,1
St Andrews,MA (hons) international relations & psychology,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,Year abroad,,psychology,1
St Andrews,MA (hons) international relations & sustainable development,http://www.st-andrews.ac.uk/subjects/international-relations/international-relations-ma/,Year abroad,,,1
London School of Economics,BSc (hons) international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-relations,Year abroad,Chinese,,2
London School of Economics,BSc (hons) politics & international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-politics-and-international-relations,Year abroad,,,1
London School of Economics,BSc (hons) international social & public policy with politics,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-international-social-and-public-policy-with-politics,Year abroad,,,1
Keele,BA (hons) international relations & politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/internationalrelationsandpolitics,"Sandwich year, Year abroad",,,1
Keele,BA (hons) international relations,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/internationalrelations/#foundationyear,"Foundation year, Sandwich year, Year abroad",,,2
Keele,LLB (hons) law with politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/lawwithpolitics,"Foundation year, Sandwich year, Year abroad",,law,2
Keele,BA (hons) politics,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/politics/#foundationyear,"Foundation year, Sandwich year, Year abroad",,,2
Keele,BSc (hons) politics & sociology,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/politicsandsociology/,"Foundation year, Sandwich year, Year abroad",,sociology,2
King's College London,BA (hons) European politics,https://www.kcl.ac.uk/study/undergraduate/courses/european-politics-ba,,,,1
King's College London,BA/BSc (hons) politics,https://www.kcl.ac.uk/study/undergraduate/courses/politics-ba-bsc,,,,1
King's College London,BA (hons) international relations,https://www.kcl.ac.uk/study/undergraduate/courses/international-relations-ba,Year abroad,,,1
King's College London,BA (hons) war studies,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba,Year abroad,,,1
King's College London,BA (hons) international development,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,Year abroad,,,1
King's College London,BA (hons) international development with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,Year abroad,,,1
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,,,,1
Glasgow,MA(SocSci) (hons) politics,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year abroad,,,1
Glasgow,MA(SocSci) (hons) international relations,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year abroad,,,1
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year abroad,,psychology,1
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year abroad,,sociology,1
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year abroad,,common law,1
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year abroad,,"film, television studies",1
Glasgow,LLB (hons) law/ politics,http://www.gla.ac.uk/undergraduate/degrees/law/,Year abroad,,law,1
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year abroad,,common law,1
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,"Sandwich year, Year abroad","French, German, Portuguese",,3
Glasgow,MA (hons) politics,http://www.gla.ac.uk/undergraduate/degrees/spanish/,"Sandwich year, Year abroad",Spanish,,1
Loughborough,BA (hons) politics & international relations,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/politics-and-international-relations/#variant,"Sandwich year, Year abroad",,,2
Loughborough,BA (hons) international relations,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/international-relations/#default,"Sandwich year, Year abroad",,,2
Loughborough,BA (hons) politics,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/politics/#variant,"Sandwich year, Year abroad",,,2
Liverpool John Moores,BA (hons) international relations & politics,https://www.ljmu.ac.uk/study/courses/undergraduates/2025/36202-international-relations-and-politics-ba-hons,"Foundation year, Sandwich year, Year abroad",,,2
Durham,BA (hons) politics,https://www.durham.ac.uk/study/courses/l200/,"Foundation year, Sandwich year, Year abroad",,,2
Durham,BA (hons) international relations,https://www.durham.ac.uk/study/courses/l250/,"Sandwich year, Year abroad",,,1
Durham,BA (hons) politics & international relations,https://www.durham.ac.uk/study/courses/l253/,"Sandwich year, Year abroad",,,1
Durham,BA (hons) combined social sciences,https://www.durham.ac.uk/study/courses/lmv0/,"Foundation year, Sandwich year, Year abroad",,,2
Essex,BA (hons) international relations,https://www.essex.ac.uk/courses/UG00221/1,"Sandwich year, Year abroad",,,3
Essex,BA (hons) politics & international relations,https://www.essex.ac.uk/courses/UG01124/1,"Sandwich year, Year abroad",,,3
Essex,BSc (hons) politics & international relations,https://www.essex.ac.uk/courses/UG01124/1,"Sandwich year, Year abroad",,,3
Essex,BA (hons) politics,https://www.essex.ac.uk/courses/UG00343/1,"Foundation year, Sandwich year, Year abroad",,,4
Essex,BA (hons) international relations & modern languages,https://www.essex.ac.uk/courses/UG00222/1,Year abroad,,modern languages,1
Essex,BA (hons) American studies (united states),https://www.essex.ac.uk/courses/UG00014/1,"Foundation year, Year abroad",,,3
Essex,BA (hons) global studies,https://www.essex.ac.uk/courses/UG01054/1,Year abroad,,,2
Essex,BA (hons) journalism & politics,https://www.essex.ac.uk/courses/UG01100/1,"Sandwich year, Year abroad",,journalism,3
UCL,BA (hons) European social & political studies: dual degree,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-dual-degree-ba,Year abroad,,"european social, political studies: dual degree",1
UCL,BA (hons) European social & political studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,Year abroad,,"european social, political studies",1
