institution,course_name,url,year,module_name,credits,type
London School of Economics,BSc (hons) politics & international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-politics-and-international-relations,Year 2,Choose two courses from the following,,optional
London School of Economics,BSc (hons) politics & international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-politics-and-international-relations,Year 3,EITHER one dissertation in government,,optional
London School of Economics,BSc (hons) politics & international relations,https://www.lse.ac.uk/study-at-lse/undergraduate/bsc-politics-and-international-relations,Year 3,OR one dissertation in international relations,,optional
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to sustainable development,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to global environmental issues,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"People, power & place",,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"Energy, waste & pollution",,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to Sustainable Development,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction To Global Environmental Issues,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"People, Power and Place",,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"Energy, Waste and Pollution: Options for Sustainability",,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Global perspectives on health & human development,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Leadership & teamworking,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Political economy of globalisation & development,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Politics and the environment,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Environmental communication & behaviour change.,,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Global Perspectives on Health and Human Development,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Ethics,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Political Economy of Globalisation and Development,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Politics and the Environment,,core
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Environmental Communication and Behaviour Change,,core
