institution,course_name,url,year,module_name,credits,type,bucket_1,bucket_2
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,War and Peace Twentieth Century Europe and Global Conflict,,,Security & Conflict,Sociology & History
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,The United States: An Introduction (1763 – The Present),,,Sociology & History,Regional & Area Studies
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Introduction to International Relations Theory and Practice,,,IR Theory & Global Order,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Introduction to Soft Power,,,Diplomacy & Foreign Policy,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Russia and China: An Introduction to Post-Communism,,,Regional & Area Studies,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,"Britain and Europe: Brexit – Before, During and After",,,Comparative & British Politics,Regional & Area Studies
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Contemporary Issues in International Relations I: Global Security Challenges,,,Security & Conflict,IR Theory & Global Order
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,EU Law II,,,Law,Regional & Area Studies
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,International Human Rights,,,Human Rights & Humanitarianism,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,International Organisations,,,Diplomacy & Foreign Policy,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Identity and Conflict in Russia and Eurasia,,,Regional & Area Studies,Security & Conflict
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Contemporary Issues in International Relations II: Climate Change and Activism,,,Environment & Sustainability,IR Theory & Global Order
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,"Civil Society, NGOs and International Development",,,Human Rights & Humanitarianism,International Political Economy
